Time,specific_humidity[unit:kg/kg]
1984-06-26 00:00:00 UTC,6.875352909219146E-8
1984-06-27 00:00:00 UTC,6.911693617439596E-8
1984-06-28 00:00:00 UTC,6.604951607869225E-8
1984-06-29 00:00:00 UTC,7.730079687462421E-8
1984-06-30 00:00:00 UTC,7.993310902065787E-8
1984-07-01 00:00:00 UTC,9.475444073814288E-8
1984-07-02 00:00:00 UTC,8.818527419407474E-8
1984-07-03 00:00:00 UTC,7.74324036001417E-8
1984-07-04 00:00:00 UTC,8.930823014452471E-8
1984-07-05 00:00:00 UTC,7.49262056842781E-8
1984-07-06 00:00:00 UTC,7.736442597661153E-8
1984-07-07 00:00:00 UTC,7.640003474307377E-8
1984-07-08 00:00:00 UTC,7.942611546241096E-8
1984-07-09 00:00:00 UTC,8.813643859184594E-8
1984-07-10 00:00:00 UTC,8.771136350560482E-8
1984-07-11 00:00:00 UTC,8.475546309227866E-8
1984-07-12 00:00:00 UTC,7.601950358093745E-8
1984-07-13 00:00:00 UTC,7.964070647403787E-8
1984-07-14 00:00:00 UTC,9.057923477939767E-8
1984-07-15 00:00:00 UTC,9.767597219934032E-8
1984-07-16 00:00:00 UTC,9.609183848624525E-8
1984-07-17 00:00:00 UTC,8.578555110716479E-8
1984-07-18 00:00:00 UTC,7.74415198634415E-8
1984-07-19 00:00:00 UTC,7.6334806919931E-8
1984-07-20 00:00:00 UTC,9.573439285759378E-8
1984-07-21 00:00:00 UTC,9.121258415234479E-8
1984-07-22 00:00:00 UTC,8.674112450535176E-8
1984-07-23 00:00:00 UTC,9.210766194200914E-8
1984-07-24 00:00:00 UTC,9.316271132320253E-8
1984-07-25 00:00:00 UTC,9.064986983275958E-8
1984-07-26 00:00:00 UTC,9.520043420252478E-8
1984-07-27 00:00:00 UTC,9.641192377785046E-8
1984-07-28 00:00:00 UTC,9.99849092409022E-8
1984-07-29 00:00:00 UTC,1.0330241195788403E-7
1984-07-30 00:00:00 UTC,9.971454772994548E-8
1984-07-31 00:00:00 UTC,1.0682943241135945E-7
1984-08-01 00:00:00 UTC,1.1165194280238211E-7
1984-08-02 00:00:00 UTC,1.0549062068321291E-7
1984-08-03 00:00:00 UTC,9.306828019362001E-8
1984-08-04 00:00:00 UTC,9.513077969813821E-8
1984-08-05 00:00:00 UTC,9.595000705076018E-8
1984-08-06 00:00:00 UTC,1.0167640596137062E-7
1984-08-07 00:00:00 UTC,9.185009730572347E-8
1984-08-08 00:00:00 UTC,8.821776731338105E-8
1984-08-09 00:00:00 UTC,8.560059683304644E-8
1984-08-10 00:00:00 UTC,8.380268212704323E-8
1984-08-11 00:00:00 UTC,8.143287288930878E-8
1984-08-12 00:00:00 UTC,9.197751893452732E-8
1984-08-13 00:00:00 UTC,9.6968584273327E-8
1984-08-14 00:00:00 UTC,9.48491560848197E-8
1984-08-15 00:00:00 UTC,1.0168203345983784E-7
1984-08-16 00:00:00 UTC,1.0508536263387214E-7
1984-08-17 00:00:00 UTC,1.0486878920801246E-7
1984-08-18 00:00:00 UTC,1.1007975331267517E-7
1984-08-19 00:00:00 UTC,1.085322693938906E-7
1984-08-20 00:00:00 UTC,1.0194378319283715E-7
1984-08-21 00:00:00 UTC,1.027417297905231E-7
1984-08-22 00:00:00 UTC,1.0688868457009448E-7
1984-08-23 00:00:00 UTC,1.024382498826526E-7
1984-08-24 00:00:00 UTC,9.902748843160225E-8
1984-08-25 00:00:00 UTC,9.522906196934855E-8
1984-08-26 00:00:00 UTC,8.186913191821077E-8
1984-08-27 00:00:00 UTC,7.141836988466821E-8
1984-08-28 00:00:00 UTC,7.153150249905593E-8
1984-08-29 00:00:00 UTC,6.536035357385117E-8
1984-08-30 00:00:00 UTC,6.922429918176931E-8
1984-08-31 00:00:00 UTC,7.804651147580444E-8
1984-09-01 00:00:00 UTC,7.299142623651278E-8
1984-09-02 00:00:00 UTC,6.892567228078406E-8
1984-09-03 00:00:00 UTC,5.9446094269333116E-8
1984-09-04 00:00:00 UTC,5.499077460058288E-8
1984-09-05 00:00:00 UTC,5.318162976664098E-8
1984-09-06 00:00:00 UTC,5.147868975541314E-8
1984-09-07 00:00:00 UTC,4.886819837679468E-8
1984-09-08 00:00:00 UTC,4.804465802976665E-8
1984-09-09 00:00:00 UTC,5.2429431462996945E-8
1984-09-10 00:00:00 UTC,5.1468877160232296E-8
1984-09-11 00:00:00 UTC,6.78044216328999E-8
1984-09-12 00:00:00 UTC,6.75696014695859E-8
1984-09-13 00:00:00 UTC,6.895508875004452E-8
1984-09-14 00:00:00 UTC,7.0221950920768E-8
1984-09-15 00:00:00 UTC,6.557169740517566E-8
1984-09-16 00:00:00 UTC,6.444486899681579E-8
1984-09-17 00:00:00 UTC,6.147033815295799E-8
1984-09-18 00:00:00 UTC,5.621905785346826E-8
1984-09-19 00:00:00 UTC,5.35347943753095E-8
1984-09-20 00:00:00 UTC,5.4489241563260293E-8
1984-09-21 00:00:00 UTC,5.406899816762234E-8
1984-09-22 00:00:00 UTC,5.375753531211558E-8
1984-09-23 00:00:00 UTC,5.391909851937271E-8
1984-09-24 00:00:00 UTC,4.720249435763435E-8
1984-09-25 00:00:00 UTC,3.57293963304528E-8
1984-09-26 00:00:00 UTC,4.079315019112073E-8
1984-09-27 00:00:00 UTC,4.349014304239063E-8
1984-09-28 00:00:00 UTC,3.7611652459190736E-8
1984-09-29 00:00:00 UTC,3.077256849337573E-8
1984-09-30 00:00:00 UTC,3.2043388387137384E-8
1984-10-01 00:00:00 UTC,4.8812527353447877E-8
1984-10-02 00:00:00 UTC,5.61554855948998E-8
1984-10-03 00:00:00 UTC,6.626377313523335E-8
1984-10-04 00:00:00 UTC,7.186833528294301E-8
1984-10-05 00:00:00 UTC,6.592972567887045E-8
1984-10-06 00:00:00 UTC,5.6644385182380574E-8
1984-10-07 00:00:00 UTC,4.914569018410475E-8
1984-10-08 00:00:00 UTC,4.8832081489535994E-8
1984-10-09 00:00:00 UTC,5.5586266256568706E-8
1984-10-10 00:00:00 UTC,5.259410329472303E-8
1984-10-11 00:00:00 UTC,4.986281254559799E-8
1984-10-12 00:00:00 UTC,5.2782656467798006E-8
1984-10-13 00:00:00 UTC,5.5171494039996105E-8
1984-10-14 00:00:00 UTC,5.046919682172302E-8
1984-10-15 00:00:00 UTC,3.4544708427119986E-8
1984-10-16 00:00:00 UTC,3.0346754442689416E-8
1984-10-17 00:00:00 UTC,3.493254396857992E-8
1984-10-18 00:00:00 UTC,2.6748640635787524E-8
1984-10-19 00:00:00 UTC,2.8881862235152767E-8
1984-10-20 00:00:00 UTC,3.3416721834100827E-8
1984-10-21 00:00:00 UTC,3.477067522794641E-8
1984-10-22 00:00:00 UTC,3.469289922009011E-8
1984-10-23 00:00:00 UTC,3.8174139405100505E-8
1984-10-24 00:00:00 UTC,3.590062647162995E-8
1984-10-25 00:00:00 UTC,3.399871317810721E-8
1984-10-26 00:00:00 UTC,3.473315146607092E-8
