Time,potential_evapotranspiration[unit:mm]
1984-05-25 00:00:00 UTC,0.4973783493041992
1984-05-26 00:00:00 UTC,0.5285981893539429
1984-05-27 00:00:00 UTC,0.610403299331665
1984-05-28 00:00:00 UTC,0.46796298027038574
1984-05-29 00:00:00 UTC,0.5637181401252747
1984-05-30 00:00:00 UTC,0.638547956943512
1984-05-31 00:00:00 UTC,0.6187668442726135
1984-06-01 00:00:00 UTC,0.5125884413719177
1984-06-02 00:00:00 UTC,0.46305152773857117
1984-06-03 00:00:00 UTC,0.5464320778846741
1984-06-04 00:00:00 UTC,0.5190978050231934
1984-06-05 00:00:00 UTC,0.4454538822174072
1984-06-06 00:00:00 UTC,0.4478522837162018
1984-06-07 00:00:00 UTC,0.43904560804367065
1984-06-08 00:00:00 UTC,0.5309368371963501
1984-06-09 00:00:00 UTC,0.4675707221031189
1984-06-10 00:00:00 UTC,0.5288324356079102
1984-06-11 00:00:00 UTC,0.589266836643219
1984-06-12 00:00:00 UTC,0.5582161545753479
1984-06-13 00:00:00 UTC,0.5814517140388489
1984-06-14 00:00:00 UTC,0.5915122628211975
1984-06-15 00:00:00 UTC,0.5212485790252686
1984-06-16 00:00:00 UTC,0.5355647206306458
1984-06-17 00:00:00 UTC,0.5487667322158813
1984-06-18 00:00:00 UTC,0.5795225501060486
1984-06-19 00:00:00 UTC,0.5616914629936218
1984-06-20 00:00:00 UTC,0.5714240074157715
1984-06-21 00:00:00 UTC,0.6433559656143188
1984-06-22 00:00:00 UTC,0.6240846514701843
1984-06-23 00:00:00 UTC,0.5479649901390076
1984-06-24 00:00:00 UTC,0.5822405219078064
1984-06-25 00:00:00 UTC,0.5686603784561157
1984-06-26 00:00:00 UTC,0.6008458733558655
1984-06-27 00:00:00 UTC,0.5806480050086975
1984-06-28 00:00:00 UTC,0.6128762364387512
1984-06-29 00:00:00 UTC,0.6167935132980347
1984-06-30 00:00:00 UTC,0.5900563597679138
1984-07-01 00:00:00 UTC,0.5195196270942688
1984-07-02 00:00:00 UTC,0.5916451215744019
1984-07-03 00:00:00 UTC,0.6295267939567566
1984-07-04 00:00:00 UTC,0.5555252432823181
1984-07-05 00:00:00 UTC,0.5867978930473328
1984-07-06 00:00:00 UTC,0.6529577374458313
1984-07-07 00:00:00 UTC,0.6397559642791748
1984-07-08 00:00:00 UTC,0.6326853632926941
1984-07-09 00:00:00 UTC,0.5438809990882874
1984-07-10 00:00:00 UTC,0.5418528914451599
1984-07-11 00:00:00 UTC,0.5590029954910278
1984-07-12 00:00:00 UTC,0.5852805972099304
1984-07-13 00:00:00 UTC,0.5824403166770935
1984-07-14 00:00:00 UTC,0.5740364789962769
1984-07-15 00:00:00 UTC,0.534168541431427
1984-07-16 00:00:00 UTC,0.5408313274383545
1984-07-17 00:00:00 UTC,0.5647634267807007
1984-07-18 00:00:00 UTC,0.6063031554222107
1984-07-19 00:00:00 UTC,0.6067190170288086
1984-07-20 00:00:00 UTC,0.5941672325134277
1984-07-21 00:00:00 UTC,0.6795830726623535
1984-07-22 00:00:00 UTC,0.6336780190467834
1984-07-23 00:00:00 UTC,0.5858845114707947
1984-07-24 00:00:00 UTC,0.5575940608978271
1984-07-25 00:00:00 UTC,0.5072706341743469
1984-07-26 00:00:00 UTC,0.4584810733795166
1984-07-27 00:00:00 UTC,0.49782806634902954
1984-07-28 00:00:00 UTC,0.511054277420044
1984-07-29 00:00:00 UTC,0.4807988405227661
1984-07-30 00:00:00 UTC,0.5120071172714233
1984-07-31 00:00:00 UTC,0.4582035541534424
1984-08-01 00:00:00 UTC,0.44314882159233093
1984-08-02 00:00:00 UTC,0.4851487874984741
1984-08-03 00:00:00 UTC,0.5170652866363525
1984-08-04 00:00:00 UTC,0.5100506544113159
1984-08-05 00:00:00 UTC,0.5175137519836426
1984-08-06 00:00:00 UTC,0.44455578923225403
1984-08-07 00:00:00 UTC,0.5323857069015503
1984-08-08 00:00:00 UTC,0.5110086798667908
1984-08-09 00:00:00 UTC,0.523766279220581
1984-08-10 00:00:00 UTC,0.5145965218544006
1984-08-11 00:00:00 UTC,0.5159810185432434
1984-08-12 00:00:00 UTC,0.5054044723510742
1984-08-13 00:00:00 UTC,0.4942825436592102
1984-08-14 00:00:00 UTC,0.49570217728614807
1984-08-15 00:00:00 UTC,0.47937294840812683
1984-08-16 00:00:00 UTC,0.4704957902431488
1984-08-17 00:00:00 UTC,0.5077184438705444
1984-08-18 00:00:00 UTC,0.45869767665863037
1984-08-19 00:00:00 UTC,0.41978469491004944
1984-08-20 00:00:00 UTC,0.40837761759757996
1984-08-21 00:00:00 UTC,0.3874785304069519
1984-08-22 00:00:00 UTC,0.41966232657432556
1984-08-23 00:00:00 UTC,0.41405045986175537
1984-08-24 00:00:00 UTC,0.3833092749118805
1984-08-25 00:00:00 UTC,0.423396497964859
1984-08-26 00:00:00 UTC,0.5019088983535767
1984-08-27 00:00:00 UTC,0.494424045085907
1984-08-28 00:00:00 UTC,0.5038444399833679
1984-08-29 00:00:00 UTC,0.5483081936836243
1984-08-30 00:00:00 UTC,0.524049699306488
1984-08-31 00:00:00 UTC,0.5948596000671387
1984-09-01 00:00:00 UTC,0.4923580288887024
1984-09-02 00:00:00 UTC,0.4078397750854492
1984-09-03 00:00:00 UTC,0.4263840913772583
1984-09-04 00:00:00 UTC,0.462107390165329
1984-09-05 00:00:00 UTC,0.5412301421165466
1984-09-06 00:00:00 UTC,0.674317479133606
1984-09-07 00:00:00 UTC,0.5669986009597778
1984-09-08 00:00:00 UTC,0.44791823625564575
1984-09-09 00:00:00 UTC,0.5130791068077087
1984-09-10 00:00:00 UTC,0.5532112121582031
1984-09-11 00:00:00 UTC,0.4792461693286896
1984-09-12 00:00:00 UTC,0.49096280336380005
1984-09-13 00:00:00 UTC,0.4071173369884491
1984-09-14 00:00:00 UTC,0.3431347608566284
1984-09-15 00:00:00 UTC,0.3112090826034546
1984-09-16 00:00:00 UTC,0.36219921708106995
1984-09-17 00:00:00 UTC,0.393694132566452
1984-09-18 00:00:00 UTC,0.401746928691864
1984-09-19 00:00:00 UTC,0.4139940142631531
1984-09-20 00:00:00 UTC,0.44880446791648865
1984-09-21 00:00:00 UTC,0.4621695578098297
1984-09-22 00:00:00 UTC,0.4358588457107544
1984-09-23 00:00:00 UTC,0.48001179099082947
1984-09-24 00:00:00 UTC,0.4164683520793915
1984-09-25 00:00:00 UTC,0.27266204357147217
1984-09-26 00:00:00 UTC,0.2865602374076843
1984-09-27 00:00:00 UTC,0.29912152886390686
1984-09-28 00:00:00 UTC,0.14362719655036926
1984-09-29 00:00:00 UTC,0.17253585159778595
1984-09-30 00:00:00 UTC,0.2956807315349579
1984-10-01 00:00:00 UTC,0.3174402415752411
1984-10-02 00:00:00 UTC,0.2568300664424896
1984-10-03 00:00:00 UTC,0.26450130343437195
1984-10-04 00:00:00 UTC,0.14960436522960663
1984-10-05 00:00:00 UTC,0.21405327320098877
1984-10-06 00:00:00 UTC,0.26904600858688354
1984-10-07 00:00:00 UTC,0.29483795166015625
1984-10-08 00:00:00 UTC,0.26150959730148315
1984-10-09 00:00:00 UTC,0.25696465373039246
1984-10-10 00:00:00 UTC,0.31266242265701294
1984-10-11 00:00:00 UTC,0.3466939330101013
1984-10-12 00:00:00 UTC,0.2948901355266571
1984-10-13 00:00:00 UTC,0.20076794922351837
1984-10-14 00:00:00 UTC,0.13790227472782135
1984-10-15 00:00:00 UTC,0.1526786834001541
1984-10-16 00:00:00 UTC,0.10290501266717911
1984-10-17 00:00:00 UTC,0.11970812827348709
1984-10-18 00:00:00 UTC,0.14896421134471893
1984-10-19 00:00:00 UTC,0.13007555902004242
1984-10-20 00:00:00 UTC,0.10678660869598389
1984-10-21 00:00:00 UTC,0.09418048709630966
1984-10-22 00:00:00 UTC,0.08626441657543182
1984-10-23 00:00:00 UTC,0.07716343551874161
1984-10-24 00:00:00 UTC,0.10946589708328247
1984-10-25 00:00:00 UTC,0.1497536152601242
1984-10-26 00:00:00 UTC,0.23684562742710114
1984-10-27 00:00:00 UTC,0.1921893209218979
1984-10-28 00:00:00 UTC,0.18336929380893707
1984-10-29 00:00:00 UTC,0.22071793675422668
1984-10-30 00:00:00 UTC,0.18908120691776276
1984-10-31 00:00:00 UTC,0.22159352898597717
1984-11-01 00:00:00 UTC,0.18531200289726257
1984-11-02 00:00:00 UTC,0.2779284417629242
1984-11-03 00:00:00 UTC,0.31961318850517273
1984-11-04 00:00:00 UTC,0.22474022209644318
1984-11-05 00:00:00 UTC,0.19738075137138367
1984-11-06 00:00:00 UTC,0.2639496326446533
1984-11-07 00:00:00 UTC,0.27237722277641296
1984-11-08 00:00:00 UTC,0.24091538786888123
1984-11-09 00:00:00 UTC,0.219181627035141
1984-11-10 00:00:00 UTC,0.1577671766281128
1984-11-11 00:00:00 UTC,0.185430645942688
1984-11-12 00:00:00 UTC,0.21142317354679108
1984-11-13 00:00:00 UTC,0.2699890434741974
1984-11-14 00:00:00 UTC,0.18565981090068817
1984-11-15 00:00:00 UTC,0.13199184834957123
1984-11-16 00:00:00 UTC,0.13762184977531433
1984-11-17 00:00:00 UTC,0.14692971110343933
1984-11-18 00:00:00 UTC,0.11025267839431763
1984-11-19 00:00:00 UTC,0.10874895751476288
1984-11-20 00:00:00 UTC,0.13576284050941467
1984-11-21 00:00:00 UTC,0.18325728178024292
1984-11-22 00:00:00 UTC,0.17141851782798767
1984-11-23 00:00:00 UTC,0.1643388420343399
1984-11-24 00:00:00 UTC,0.14299660921096802
1984-11-25 00:00:00 UTC,0.13679136335849762
1984-11-26 00:00:00 UTC,0.09083850681781769
1984-11-27 00:00:00 UTC,0.07980592548847198
1984-11-28 00:00:00 UTC,0.12832695245742798
1984-11-29 00:00:00 UTC,0.1176132932305336
1984-11-30 00:00:00 UTC,0.11693957448005676
1984-12-01 00:00:00 UTC,0.1222599521279335
1984-12-02 00:00:00 UTC,0.07656644284725189
1984-12-03 00:00:00 UTC,0.08226152509450912
1984-12-04 00:00:00 UTC,0.06845144927501678
1984-12-05 00:00:00 UTC,0.08237893134355545
1984-12-06 00:00:00 UTC,0.15459194779396057
1984-12-07 00:00:00 UTC,0.24332566559314728
1984-12-08 00:00:00 UTC,0.19704259932041168
1984-12-09 00:00:00 UTC,0.1902286559343338
1984-12-10 00:00:00 UTC,0.16686810553073883
1984-12-11 00:00:00 UTC,0.16420596837997437
1984-12-12 00:00:00 UTC,0.09498842060565948
1984-12-13 00:00:00 UTC,0.0488005205988884
1984-12-14 00:00:00 UTC,0.04959230124950409
1984-12-15 00:00:00 UTC,0.06812631338834763
1984-12-16 00:00:00 UTC,0.08925604820251465
1984-12-17 00:00:00 UTC,0.07901153713464737
1984-12-18 00:00:00 UTC,0.09265826642513275
1984-12-19 00:00:00 UTC,0.09826800227165222
1984-12-20 00:00:00 UTC,0.10777655243873596
1984-12-21 00:00:00 UTC,0.12027785927057266
1984-12-22 00:00:00 UTC,0.11971686035394669
1984-12-23 00:00:00 UTC,0.15820389986038208
1984-12-24 00:00:00 UTC,0.10012904554605484
1984-12-25 00:00:00 UTC,0.11970294266939163
