Time,specific_humidity[unit:kg/kg]
1984-12-05 00:00:00 UTC,2.170000001910921E-8
1984-12-06 00:00:00 UTC,2.0099999886724618E-8
1984-12-07 00:00:00 UTC,2.210000005220536E-8
1984-12-08 00:00:00 UTC,3.279999916117049E-8
1984-12-09 00:00:00 UTC,3.179999907843012E-8
1984-12-10 00:00:00 UTC,2.76000005072774E-8
1984-12-11 00:00:00 UTC,3.590000119402248E-8
1984-12-12 00:00:00 UTC,3.770000134295515E-8
1984-12-13 00:00:00 UTC,3.4399999293555084E-8
1984-12-14 00:00:00 UTC,3.099999901223782E-8
1984-12-15 00:00:00 UTC,3.8100001376051296E-8
1984-12-16 00:00:00 UTC,2.8900000614839882E-8
1984-12-17 00:00:00 UTC,2.9400000656210068E-8
1984-12-18 00:00:00 UTC,2.8500000581743734E-8
1984-12-19 00:00:00 UTC,3.11000007968687E-8
1984-12-20 00:00:00 UTC,3.250000091270522E-8
1984-12-21 00:00:00 UTC,2.3900000201138027E-8
1984-12-22 00:00:00 UTC,2.13999999942871E-8
1984-12-23 00:00:00 UTC,2.2600000093575545E-8
1984-12-24 00:00:00 UTC,2.2000000043931323E-8
1984-12-25 00:00:00 UTC,2.49000002838784E-8
1984-12-26 00:00:00 UTC,3.390000102854174E-8
1984-12-27 00:00:00 UTC,4.9499998766577846E-8
1984-12-28 00:00:00 UTC,3.3300000978897515E-8
1984-12-29 00:00:00 UTC,3.9900001524983963E-8
1984-12-30 00:00:00 UTC,3.250000091270522E-8
1984-12-31 00:00:00 UTC,3.6100001210570554E-8
1985-01-01 00:00:00 UTC,2.5300000316974547E-8
1985-01-02 00:00:00 UTC,1.8199999729517913E-8
1985-01-03 00:00:00 UTC,2.900000062311392E-8
1985-01-04 00:00:00 UTC,3.1199999028785896E-8
1985-01-05 00:00:00 UTC,2.620000039144088E-8
1985-01-06 00:00:00 UTC,2.180000002738325E-8
1985-01-07 00:00:00 UTC,2.550000033352262E-8
1985-01-08 00:00:00 UTC,3.6700001260214776E-8
1985-01-09 00:00:00 UTC,3.0500000747224476E-8
1985-01-10 00:00:00 UTC,1.969999985362847E-8
1985-01-11 00:00:00 UTC,1.899999979571021E-8
1985-01-12 00:00:00 UTC,1.8399999746065987E-8
1985-01-13 00:00:00 UTC,1.6999999630229468E-8
1985-01-14 00:00:00 UTC,1.78999997046958E-8
1985-01-15 00:00:00 UTC,2.3200000143219768E-8
1985-01-16 00:00:00 UTC,2.5700000350070695E-8
1985-01-17 00:00:00 UTC,2.49000002838784E-8
1985-01-18 00:00:00 UTC,2.7800000523825474E-8
1985-01-19 00:00:00 UTC,2.76000005072774E-8
1985-01-20 00:00:00 UTC,2.350000016804188E-8
1985-01-21 00:00:00 UTC,2.6800000441085103E-8
1985-01-22 00:00:00 UTC,2.380000019286399E-8
1985-01-23 00:00:00 UTC,2.350000016804188E-8
1985-01-24 00:00:00 UTC,2.6000000374892807E-8
1985-01-25 00:00:00 UTC,2.6800000441085103E-8
1985-01-26 00:00:00 UTC,2.7400000490729326E-8
1985-01-27 00:00:00 UTC,3.2599999144622416E-8
1985-01-28 00:00:00 UTC,3.070000076377255E-8
